date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:12:24	5221/5221	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2001:20:32%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/index.html	(from )
07:12:25	131/131	---MCZ	200	added ('OK')	text/plain	etag:W/%2213573-1697851941;br%22	https://bestwpware.com/robots.txt		(from )
07:12:25	155631/155631	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Jun%202021%2015:43:44%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/assets/bootstrap/css/bootstrap.min.css	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/assets/bootstrap/css/bootstrap.min.css	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:26	31000/31000	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20May%202017%2021:43:54%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/assets/fonts/font-awesome.min.css	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/assets/fonts/font-awesome.min.css	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:26	3473/3473	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202015%2008:59:52%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/assets/css/meanmenu.css	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/assets/css/meanmenu.css	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:27	16450/16450	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Oct%202018%2021:06:54%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/assets/fonts/themify-icons.css	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/assets/fonts/themify-icons.css	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:27	26677/26677	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Apr%202023%2018:01:34%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/assets/css/style.css	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/assets/css/style.css	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:28	1336/1336	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Apr%202015%2005:45:28%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/assets/css/responsive.css	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/assets/css/responsive.css	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:28	4809/4809	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Jan%202021%2001:16:18%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/assets/img/logo.png	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/assets/img/logo.png	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:29	12428/12428	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2001:20:40%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/resume.html	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/resume.html	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:29	13838/13838	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202022%2000:48:06%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/service.html	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/service.html	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:29	13526/13526	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2001:25:42%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/portfolio.html	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/portfolio.html	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
07:12:30	7930/7930	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2018:01:52%20GMT	https://bestwpware.com/html/tm/quader-demo/quader-dark/blog.html	C:/Users/Administrator/Downloads/PRoFrontTemplet/bestwpware.com/html/tm/quader-demo/quader-dark/blog.html	(from https://bestwpware.com/html/tm/quader-demo/quader-dark/index.html)
